Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,SG,C,SF,PF,PG
SG/SF,Justin Anderson,3400,MIA@PHI 02/02/2018 08:00PM ET,11.513,PHI,1,0,1,0,0
SG/SF,Treveon Graham,3400,IND@CHA 02/02/2018 07:00PM ET,9.993,CHA,1,0,1,0,0
PF/C,Trevor Booker,3300,MIA@PHI 02/02/2018 08:00PM ET,17.012,PHI,0,1,0,1,0
SF/PF,Omri Casspi,3300,GS@SAC 02/02/2018 10:30PM ET,14.609000000000002,GS,0,0,1,1,0
SG/SF,Norman Powell,3300,POR@TOR 02/02/2018 07:30PM ET,13.363,TOR,1,0,1,0,0
SF/PF,Jonas Jerebko,3300,UTA@PHO 02/02/2018 09:00PM ET,13.065,UTA,0,0,1,1,0
SF/PF,OG Anunoby,3300,POR@TOR 02/02/2018 07:30PM ET,12.673,TOR,0,0,1,1,0
PG/SG,Shaun Livingston,3300,GS@SAC 02/02/2018 10:30PM ET,11.466,GS,1,0,0,0,1
PF/C,Thon Maker,3200,NY@MIL 02/02/2018 08:00PM ET,12.642999999999999,MIL,0,1,0,1,0
PF/C,Jordan Mickey,3200,MIA@PHI 02/02/2018 08:00PM ET,11.905999999999999,MIA,0,1,0,1,0
SF/PF,Doug McDermott,3100,NY@MIL 02/02/2018 08:00PM ET,12.610999999999999,NY,0,0,1,1,0
SF/PF,Maurice Harkless,3100,POR@TOR 02/02/2018 07:30PM ET,12.130999999999998,POR,0,0,1,1,0
